pruning state: 0
remaining weight at start of iteration =  99.99998207761968
pre_conv.0.weight_mask 	|	active =  1594 	|	total =  1728 	|	layerwise sparsity =  0.9224537037037037
layer2.0.shortcut.0.weight_mask 	|	active =  6436 	|	total =  8192 	|	layerwise sparsity =  0.78564453125
layer2.1.conv1.weight_mask 	|	active =  75498 	|	total =  147456 	|	layerwise sparsity =  0.5120035807291666
layer2.1.conv2.weight_mask 	|	active =  75498 	|	total =  147456 	|	layerwise sparsity =  0.5120035807291666
layer3.0.conv1.weight_mask 	|	active =  150995 	|	total =  294912 	|	layerwise sparsity =  0.5120001898871528
layer3.0.conv2.weight_mask 	|	active =  267610 	|	total =  589824 	|	layerwise sparsity =  0.4537116156684028
layer3.0.shortcut.0.weight_mask 	|	active =  16777 	|	total =  32768 	|	layerwise sparsity =  0.511993408203125
layer3.1.conv1.weight_mask 	|	active =  270865 	|	total =  589824 	|	layerwise sparsity =  0.4592302110460069
layer3.1.conv2.weight_mask 	|	active =  276473 	|	total =  589824 	|	layerwise sparsity =  0.4687381320529514
layer4.0.conv1.weight_mask 	|	active =  581444 	|	total =  1179648 	|	layerwise sparsity =  0.4928961859809028
layer4.0.conv2.weight_mask 	|	active =  1234713 	|	total =  2359296 	|	layerwise sparsity =  0.523339589436849
layer4.0.shortcut.0.weight_mask 	|	active =  67109 	|	total =  131072 	|	layerwise sparsity =  0.5120010375976562
layer4.1.conv1.weight_mask 	|	active =  1256078 	|	total =  2359296 	|	layerwise sparsity =  0.532395256890191
layer4.1.conv2.weight_mask 	|	active =  1272785 	|	total =  2359296 	|	layerwise sparsity =  0.5394766065809462
pruning state: 3
remaining weight at start of iteration =  51.45856811651554
pre_conv.0.weight_mask 	|	active =  1252 	|	total =  1728 	|	layerwise sparsity =  0.7245370370370371
layer1.0.conv1.weight_mask 	|	active =  15099 	|	total =  36864 	|	layerwise sparsity =  0.4095865885416667
layer1.0.conv2.weight_mask 	|	active =  15099 	|	total =  36864 	|	layerwise sparsity =  0.4095865885416667
layer1.1.conv1.weight_mask 	|	active =  15099 	|	total =  36864 	|	layerwise sparsity =  0.4095865885416667
layer1.1.conv2.weight_mask 	|	active =  15099 	|	total =  36864 	|	layerwise sparsity =  0.4095865885416667
layer2.0.conv1.weight_mask 	|	active =  30199 	|	total =  73728 	|	layerwise sparsity =  0.4096001519097222
layer2.0.conv2.weight_mask 	|	active =  60398 	|	total =  147456 	|	layerwise sparsity =  0.4096001519097222
layer2.0.shortcut.0.weight_mask 	|	active =  5938 	|	total =  8192 	|	layerwise sparsity =  0.724853515625
layer2.1.conv1.weight_mask 	|	active =  60398 	|	total =  147456 	|	layerwise sparsity =  0.4096001519097222
layer2.1.conv2.weight_mask 	|	active =  60398 	|	total =  147456 	|	layerwise sparsity =  0.4096001519097222
layer3.0.conv1.weight_mask 	|	active =  120796 	|	total =  294912 	|	layerwise sparsity =  0.4096001519097222
layer3.0.conv2.weight_mask 	|	active =  205634 	|	total =  589824 	|	layerwise sparsity =  0.3486362033420139
layer3.0.shortcut.0.weight_mask 	|	active =  13422 	|	total =  32768 	|	layerwise sparsity =  0.40960693359375
layer3.1.conv1.weight_mask 	|	active =  208976 	|	total =  589824 	|	layerwise sparsity =  0.3543023003472222
layer3.1.conv2.weight_mask 	|	active =  214764 	|	total =  589824 	|	layerwise sparsity =  0.3641153971354167
layer4.0.conv1.weight_mask 	|	active =  459297 	|	total =  1179648 	|	layerwise sparsity =  0.38935089111328125
layer4.0.conv2.weight_mask 	|	active =  995010 	|	total =  2359296 	|	layerwise sparsity =  0.42174021402994794
layer4.0.shortcut.0.weight_mask 	|	active =  53687 	|	total =  131072 	|	layerwise sparsity =  0.40959930419921875
layer4.1.conv1.weight_mask 	|	active =  1018032 	|	total =  2359296 	|	layerwise sparsity =  0.4314982096354167
layer4.1.conv2.weight_mask 	|	active =  1036126 	|	total =  2359296 	|	layerwise sparsity =  0.43916744656032985
pruning state: 4
remaining weight at start of iteration =  41.263798440609534
pre_conv.0.weight_mask 	|	active =  1155 	|	total =  1728 	|	layerwise sparsity =  0.6684027777777778
layer1.0.conv1.weight_mask 	|	active =  12079 	|	total =  36864 	|	layerwise sparsity =  0.3276638454861111
layer1.0.conv2.weight_mask 	|	active =  12079 	|	total =  36864 	|	layerwise sparsity =  0.3276638454861111
layer1.1.conv1.weight_mask 	|	active =  12079 	|	total =  36864 	|	layerwise sparsity =  0.3276638454861111
layer1.1.conv2.weight_mask 	|	active =  12079 	|	total =  36864 	|	layerwise sparsity =  0.3276638454861111
layer2.0.conv1.weight_mask 	|	active =  24159 	|	total =  73728 	|	layerwise sparsity =  0.3276774088541667
layer2.0.conv2.weight_mask 	|	active =  48318 	|	total =  147456 	|	layerwise sparsity =  0.3276774088541667
layer2.0.shortcut.0.weight_mask 	|	active =  5479 	|	total =  8192 	|	layerwise sparsity =  0.6688232421875
layer2.1.conv1.weight_mask 	|	active =  48318 	|	total =  147456 	|	layerwise sparsity =  0.3276774088541667
layer2.1.conv2.weight_mask 	|	active =  48318 	|	total =  147456 	|	layerwise sparsity =  0.3276774088541667
layer3.0.conv1.weight_mask 	|	active =  96637 	|	total =  294912 	|	layerwise sparsity =  0.3276807996961806
layer3.0.conv2.weight_mask 	|	active =  158011 	|	total =  589824 	|	layerwise sparsity =  0.2678951687282986
layer3.0.shortcut.0.weight_mask 	|	active =  10738 	|	total =  32768 	|	layerwise sparsity =  0.32769775390625
layer3.1.conv1.weight_mask 	|	active =  161228 	|	total =  589824 	|	layerwise sparsity =  0.2733493381076389
layer3.1.conv2.weight_mask 	|	active =  166829 	|	total =  589824 	|	layerwise sparsity =  0.2828453911675347
layer4.0.conv1.weight_mask 	|	active =  362810 	|	total =  1179648 	|	layerwise sparsity =  0.3075578477647569
layer4.0.conv2.weight_mask 	|	active =  801842 	|	total =  2359296 	|	layerwise sparsity =  0.33986494276258683
layer4.0.shortcut.0.weight_mask 	|	active =  42950 	|	total =  131072 	|	layerwise sparsity =  0.3276824951171875
layer4.1.conv1.weight_mask 	|	active =  825099 	|	total =  2359296 	|	layerwise sparsity =  0.34972254435221356
layer4.1.conv2.weight_mask 	|	active =  843471 	|	total =  2359296 	|	layerwise sparsity =  0.3575096130371094
pruning state: 5
remaining weight at start of iteration =  33.09975095060306
pre_conv.0.weight_mask 	|	active =  1066 	|	total =  1728 	|	layerwise sparsity =  0.6168981481481481
layer1.0.conv1.weight_mask 	|	active =  9663 	|	total =  36864 	|	layerwise sparsity =  0.2621256510416667
layer1.0.conv2.weight_mask 	|	active =  9663 	|	total =  36864 	|	layerwise sparsity =  0.2621256510416667
layer1.1.conv1.weight_mask 	|	active =  9663 	|	total =  36864 	|	layerwise sparsity =  0.2621256510416667
layer1.1.conv2.weight_mask 	|	active =  9663 	|	total =  36864 	|	layerwise sparsity =  0.2621256510416667
layer2.0.conv1.weight_mask 	|	active =  19327 	|	total =  73728 	|	layerwise sparsity =  0.2621392144097222
layer2.0.conv2.weight_mask 	|	active =  38654 	|	total =  147456 	|	layerwise sparsity =  0.2621392144097222
layer2.0.shortcut.0.weight_mask 	|	active =  5055 	|	total =  8192 	|	layerwise sparsity =  0.6170654296875
layer2.1.conv1.weight_mask 	|	active =  38654 	|	total =  147456 	|	layerwise sparsity =  0.2621392144097222
layer2.1.conv2.weight_mask 	|	active =  38654 	|	total =  147456 	|	layerwise sparsity =  0.2621392144097222
layer3.0.conv1.weight_mask 	|	active =  77310 	|	total =  294912 	|	layerwise sparsity =  0.26214599609375
layer3.0.conv2.weight_mask 	|	active =  121417 	|	total =  589824 	|	layerwise sparsity =  0.2058529324001736
layer3.0.shortcut.0.weight_mask 	|	active =  8590 	|	total =  32768 	|	layerwise sparsity =  0.26214599609375
layer3.1.conv1.weight_mask 	|	active =  124390 	|	total =  589824 	|	layerwise sparsity =  0.21089341905381945
layer3.1.conv2.weight_mask 	|	active =  129593 	|	total =  589824 	|	layerwise sparsity =  0.2197146945529514
layer4.0.conv1.weight_mask 	|	active =  286592 	|	total =  1179648 	|	layerwise sparsity =  0.2429470486111111
layer4.0.conv2.weight_mask 	|	active =  646175 	|	total =  2359296 	|	layerwise sparsity =  0.2738846672905816
layer4.0.shortcut.0.weight_mask 	|	active =  34360 	|	total =  131072 	|	layerwise sparsity =  0.26214599609375
layer4.1.conv1.weight_mask 	|	active =  668730 	|	total =  2359296 	|	layerwise sparsity =  0.28344472249348956
layer4.1.conv2.weight_mask 	|	active =  686638 	|	total =  2359296 	|	layerwise sparsity =  0.29103512234157985
pruning state: 6
remaining weight at start of iteration =  26.55968618628952
pre_conv.0.weight_mask 	|	active =  984 	|	total =  1728 	|	layerwise sparsity =  0.5694444444444444
layer1.0.conv1.weight_mask 	|	active =  7730 	|	total =  36864 	|	layerwise sparsity =  0.2096896701388889
layer1.0.conv2.weight_mask 	|	active =  7730 	|	total =  36864 	|	layerwise sparsity =  0.2096896701388889
layer1.1.conv1.weight_mask 	|	active =  7730 	|	total =  36864 	|	layerwise sparsity =  0.2096896701388889
layer1.1.conv2.weight_mask 	|	active =  7730 	|	total =  36864 	|	layerwise sparsity =  0.2096896701388889
layer2.0.conv1.weight_mask 	|	active =  15462 	|	total =  73728 	|	layerwise sparsity =  0.209716796875
layer2.0.conv2.weight_mask 	|	active =  30923 	|	total =  147456 	|	layerwise sparsity =  0.2097100151909722
layer2.0.shortcut.0.weight_mask 	|	active =  4664 	|	total =  8192 	|	layerwise sparsity =  0.5693359375
layer2.1.conv1.weight_mask 	|	active =  30923 	|	total =  147456 	|	layerwise sparsity =  0.2097100151909722
layer2.1.conv2.weight_mask 	|	active =  30923 	|	total =  147456 	|	layerwise sparsity =  0.2097100151909722
layer3.0.conv1.weight_mask 	|	active =  61848 	|	total =  294912 	|	layerwise sparsity =  0.209716796875
layer3.0.conv2.weight_mask 	|	active =  93298 	|	total =  589824 	|	layerwise sparsity =  0.1581793891059028
layer3.0.shortcut.0.weight_mask 	|	active =  6872 	|	total =  32768 	|	layerwise sparsity =  0.209716796875
layer3.1.conv1.weight_mask 	|	active =  95969 	|	total =  589824 	|	layerwise sparsity =  0.1627078586154514
layer3.1.conv2.weight_mask 	|	active =  100668 	|	total =  589824 	|	layerwise sparsity =  0.17067464192708334
layer4.0.conv1.weight_mask 	|	active =  226386 	|	total =  1179648 	|	layerwise sparsity =  0.1919097900390625
layer4.0.conv2.weight_mask 	|	active =  520729 	|	total =  2359296 	|	layerwise sparsity =  0.22071372138129342
layer4.0.shortcut.0.weight_mask 	|	active =  27488 	|	total =  131072 	|	layerwise sparsity =  0.209716796875
layer4.1.conv1.weight_mask 	|	active =  541995 	|	total =  2359296 	|	layerwise sparsity =  0.22972742716471353
layer4.1.conv2.weight_mask 	|	active =  558966 	|	total =  2359296 	|	layerwise sparsity =  0.2369206746419271
pruning state: 7
remaining weight at start of iteration =  21.3188326938628
pre_conv.0.weight_mask 	|	active =  908 	|	total =  1728 	|	layerwise sparsity =  0.5254629629629629
layer1.0.conv1.weight_mask 	|	active =  6184 	|	total =  36864 	|	layerwise sparsity =  0.1677517361111111
layer1.0.conv2.weight_mask 	|	active =  6184 	|	total =  36864 	|	layerwise sparsity =  0.1677517361111111
layer1.1.conv1.weight_mask 	|	active =  6184 	|	total =  36864 	|	layerwise sparsity =  0.1677517361111111
layer1.1.conv2.weight_mask 	|	active =  6184 	|	total =  36864 	|	layerwise sparsity =  0.1677517361111111
layer2.0.conv1.weight_mask 	|	active =  12370 	|	total =  73728 	|	layerwise sparsity =  0.1677788628472222
layer2.0.conv2.weight_mask 	|	active =  24738 	|	total =  147456 	|	layerwise sparsity =  0.16776529947916666
layer2.0.shortcut.0.weight_mask 	|	active =  4303 	|	total =  8192 	|	layerwise sparsity =  0.5252685546875
layer2.1.conv1.weight_mask 	|	active =  24738 	|	total =  147456 	|	layerwise sparsity =  0.16776529947916666
layer2.1.conv2.weight_mask 	|	active =  24738 	|	total =  147456 	|	layerwise sparsity =  0.16776529947916666
layer3.0.conv1.weight_mask 	|	active =  49478 	|	total =  294912 	|	layerwise sparsity =  0.16777208116319445
layer3.0.conv2.weight_mask 	|	active =  71691 	|	total =  589824 	|	layerwise sparsity =  0.12154642740885417
layer3.0.shortcut.0.weight_mask 	|	active =  5498 	|	total =  32768 	|	layerwise sparsity =  0.16778564453125
layer3.1.conv1.weight_mask 	|	active =  74041 	|	total =  589824 	|	layerwise sparsity =  0.1255306667751736
layer3.1.conv2.weight_mask 	|	active =  78199 	|	total =  589824 	|	layerwise sparsity =  0.1325802273220486
layer4.0.conv1.weight_mask 	|	active =  178828 	|	total =  1179648 	|	layerwise sparsity =  0.15159437391493055
layer4.0.conv2.weight_mask 	|	active =  419636 	|	total =  2359296 	|	layerwise sparsity =  0.1778649224175347
layer4.0.shortcut.0.weight_mask 	|	active =  21990 	|	total =  131072 	|	layerwise sparsity =  0.1677703857421875
layer4.1.conv1.weight_mask 	|	active =  439279 	|	total =  2359296 	|	layerwise sparsity =  0.18619071112738717
layer4.1.conv2.weight_mask 	|	active =  455033 	|	total =  2359296 	|	layerwise sparsity =  0.19286812676323783
pruning state: 8
remaining weight at start of iteration =  17.11770128983787
pre_conv.0.weight_mask 	|	active =  838 	|	total =  1728 	|	layerwise sparsity =  0.4849537037037037
layer1.0.conv1.weight_mask 	|	active =  4947 	|	total =  36864 	|	layerwise sparsity =  0.13419596354166666
layer1.0.conv2.weight_mask 	|	active =  4947 	|	total =  36864 	|	layerwise sparsity =  0.13419596354166666
layer1.1.conv1.weight_mask 	|	active =  4947 	|	total =  36864 	|	layerwise sparsity =  0.13419596354166666
layer1.1.conv2.weight_mask 	|	active =  4947 	|	total =  36864 	|	layerwise sparsity =  0.13419596354166666
layer2.0.conv1.weight_mask 	|	active =  9896 	|	total =  73728 	|	layerwise sparsity =  0.1342230902777778
layer2.0.conv2.weight_mask 	|	active =  19790 	|	total =  147456 	|	layerwise sparsity =  0.1342095269097222
layer2.0.shortcut.0.weight_mask 	|	active =  3970 	|	total =  8192 	|	layerwise sparsity =  0.484619140625
layer2.1.conv1.weight_mask 	|	active =  19790 	|	total =  147456 	|	layerwise sparsity =  0.1342095269097222
layer2.1.conv2.weight_mask 	|	active =  19790 	|	total =  147456 	|	layerwise sparsity =  0.1342095269097222
layer3.0.conv1.weight_mask 	|	active =  39582 	|	total =  294912 	|	layerwise sparsity =  0.13421630859375
layer3.0.conv2.weight_mask 	|	active =  55088 	|	total =  589824 	|	layerwise sparsity =  0.09339735243055555
layer3.0.shortcut.0.weight_mask 	|	active =  4398 	|	total =  32768 	|	layerwise sparsity =  0.13421630859375
layer3.1.conv1.weight_mask 	|	active =  57124 	|	total =  589824 	|	layerwise sparsity =  0.09684922960069445
layer3.1.conv2.weight_mask 	|	active =  60745 	|	total =  589824 	|	layerwise sparsity =  0.10298834906684028
layer4.0.conv1.weight_mask 	|	active =  141261 	|	total =  1179648 	|	layerwise sparsity =  0.11974843343098958
layer4.0.conv2.weight_mask 	|	active =  338169 	|	total =  2359296 	|	layerwise sparsity =  0.14333470662434897
layer4.0.shortcut.0.weight_mask 	|	active =  17592 	|	total =  131072 	|	layerwise sparsity =  0.13421630859375
layer4.1.conv1.weight_mask 	|	active =  356029 	|	total =  2359296 	|	layerwise sparsity =  0.15090476142035592
layer4.1.conv2.weight_mask 	|	active =  370425 	|	total =  2359296 	|	layerwise sparsity =  0.15700658162434897
pruning state: 9
remaining weight at start of iteration =  13.748930033894801
pre_conv.0.weight_mask 	|	active =  773 	|	total =  1728 	|	layerwise sparsity =  0.44733796296296297
layer1.0.conv1.weight_mask 	|	active =  3958 	|	total =  36864 	|	layerwise sparsity =  0.10736762152777778
layer1.0.conv2.weight_mask 	|	active =  3958 	|	total =  36864 	|	layerwise sparsity =  0.10736762152777778
layer1.1.conv1.weight_mask 	|	active =  3958 	|	total =  36864 	|	layerwise sparsity =  0.10736762152777778
layer1.1.conv2.weight_mask 	|	active =  3958 	|	total =  36864 	|	layerwise sparsity =  0.10736762152777778
layer2.0.conv1.weight_mask 	|	active =  7917 	|	total =  73728 	|	layerwise sparsity =  0.10738118489583333
layer2.0.conv2.weight_mask 	|	active =  15832 	|	total =  147456 	|	layerwise sparsity =  0.10736762152777778
layer2.0.shortcut.0.weight_mask 	|	active =  3663 	|	total =  8192 	|	layerwise sparsity =  0.4471435546875
layer2.1.conv1.weight_mask 	|	active =  15832 	|	total =  147456 	|	layerwise sparsity =  0.10736762152777778
layer2.1.conv2.weight_mask 	|	active =  15832 	|	total =  147456 	|	layerwise sparsity =  0.10736762152777778
layer3.0.conv1.weight_mask 	|	active =  31666 	|	total =  294912 	|	layerwise sparsity =  0.10737440321180555
layer3.0.conv2.weight_mask 	|	active =  42330 	|	total =  589824 	|	layerwise sparsity =  0.07176717122395833
layer3.0.shortcut.0.weight_mask 	|	active =  3518 	|	total =  32768 	|	layerwise sparsity =  0.10736083984375
layer3.1.conv1.weight_mask 	|	active =  44072 	|	total =  589824 	|	layerwise sparsity =  0.07472059461805555
layer3.1.conv2.weight_mask 	|	active =  47187 	|	total =  589824 	|	layerwise sparsity =  0.0800018310546875
layer4.0.conv1.weight_mask 	|	active =  111585 	|	total =  1179648 	|	layerwise sparsity =  0.09459177652994792
layer4.0.conv2.weight_mask 	|	active =  272518 	|	total =  2359296 	|	layerwise sparsity =  0.11550818549262153
layer4.0.shortcut.0.weight_mask 	|	active =  14074 	|	total =  131072 	|	layerwise sparsity =  0.1073760986328125
layer4.1.conv1.weight_mask 	|	active =  288556 	|	total =  2359296 	|	layerwise sparsity =  0.12230597601996528
layer4.1.conv2.weight_mask 	|	active =  301549 	|	total =  2359296 	|	layerwise sparsity =  0.12781312730577257
pruning state: 10
remaining weight at start of iteration =  11.046781714010423
pre_conv.0.weight_mask 	|	active =  713 	|	total =  1728 	|	layerwise sparsity =  0.41261574074074076
layer1.0.conv1.weight_mask 	|	active =  3166 	|	total =  36864 	|	layerwise sparsity =  0.08588324652777778
layer1.0.conv2.weight_mask 	|	active =  3166 	|	total =  36864 	|	layerwise sparsity =  0.08588324652777778
layer1.1.conv1.weight_mask 	|	active =  3166 	|	total =  36864 	|	layerwise sparsity =  0.08588324652777778
layer1.1.conv2.weight_mask 	|	active =  3166 	|	total =  36864 	|	layerwise sparsity =  0.08588324652777778
layer2.0.conv1.weight_mask 	|	active =  6334 	|	total =  73728 	|	layerwise sparsity =  0.0859103732638889
layer2.0.conv2.weight_mask 	|	active =  12666 	|	total =  147456 	|	layerwise sparsity =  0.08589680989583333
layer2.0.shortcut.0.weight_mask 	|	active =  3380 	|	total =  8192 	|	layerwise sparsity =  0.41259765625
layer2.1.conv1.weight_mask 	|	active =  12666 	|	total =  147456 	|	layerwise sparsity =  0.08589680989583333
layer2.1.conv2.weight_mask 	|	active =  12666 	|	total =  147456 	|	layerwise sparsity =  0.08589680989583333
layer3.0.conv1.weight_mask 	|	active =  25333 	|	total =  294912 	|	layerwise sparsity =  0.08590020073784722
layer3.0.conv2.weight_mask 	|	active =  32527 	|	total =  589824 	|	layerwise sparsity =  0.05514695909288195
layer3.0.shortcut.0.weight_mask 	|	active =  2814 	|	total =  32768 	|	layerwise sparsity =  0.08587646484375
layer3.1.conv1.weight_mask 	|	active =  34002 	|	total =  589824 	|	layerwise sparsity =  0.057647705078125
layer3.1.conv2.weight_mask 	|	active =  36655 	|	total =  589824 	|	layerwise sparsity =  0.06214565700954861
layer4.0.conv1.weight_mask 	|	active =  88144 	|	total =  1179648 	|	layerwise sparsity =  0.07472059461805555
layer4.0.conv2.weight_mask 	|	active =  219612 	|	total =  2359296 	|	layerwise sparsity =  0.09308369954427083
layer4.0.shortcut.0.weight_mask 	|	active =  11259 	|	total =  131072 	|	layerwise sparsity =  0.08589935302734375
layer4.1.conv1.weight_mask 	|	active =  233870 	|	total =  2359296 	|	layerwise sparsity =  0.0991270277235243
layer4.1.conv2.weight_mask 	|	active =  245480 	|	total =  2359296 	|	layerwise sparsity =  0.10404798719618055
pruning state: 11
remaining weight at start of iteration =  8.878612793425212
pre_conv.0.weight_mask 	|	active =  658 	|	total =  1728 	|	layerwise sparsity =  0.38078703703703703
layer1.0.conv1.weight_mask 	|	active =  2533 	|	total =  36864 	|	layerwise sparsity =  0.06871202256944445
layer1.0.conv2.weight_mask 	|	active =  2533 	|	total =  36864 	|	layerwise sparsity =  0.06871202256944445
layer1.1.conv1.weight_mask 	|	active =  2533 	|	total =  36864 	|	layerwise sparsity =  0.06871202256944445
layer1.1.conv2.weight_mask 	|	active =  2533 	|	total =  36864 	|	layerwise sparsity =  0.06871202256944445
layer2.0.conv1.weight_mask 	|	active =  5067 	|	total =  73728 	|	layerwise sparsity =  0.0687255859375
layer2.0.conv2.weight_mask 	|	active =  10133 	|	total =  147456 	|	layerwise sparsity =  0.06871880425347222
layer2.0.shortcut.0.weight_mask 	|	active =  3119 	|	total =  8192 	|	layerwise sparsity =  0.3807373046875
layer2.1.conv1.weight_mask 	|	active =  10133 	|	total =  147456 	|	layerwise sparsity =  0.06871880425347222
layer2.1.conv2.weight_mask 	|	active =  10133 	|	total =  147456 	|	layerwise sparsity =  0.06871880425347222
layer3.0.conv1.weight_mask 	|	active =  20266 	|	total =  294912 	|	layerwise sparsity =  0.06871880425347222
layer3.0.conv2.weight_mask 	|	active =  24994 	|	total =  589824 	|	layerwise sparsity =  0.04237535264756945
layer3.0.shortcut.0.weight_mask 	|	active =  2251 	|	total =  32768 	|	layerwise sparsity =  0.068695068359375
layer3.1.conv1.weight_mask 	|	active =  26233 	|	total =  589824 	|	layerwise sparsity =  0.04447597927517361
layer3.1.conv2.weight_mask 	|	active =  28474 	|	total =  589824 	|	layerwise sparsity =  0.04827541775173611
layer4.0.conv1.weight_mask 	|	active =  69627 	|	total =  1179648 	|	layerwise sparsity =  0.059023539225260414
layer4.0.conv2.weight_mask 	|	active =  176977 	|	total =  2359296 	|	layerwise sparsity =  0.07501263088650173
layer4.0.shortcut.0.weight_mask 	|	active =  9007 	|	total =  131072 	|	layerwise sparsity =  0.06871795654296875
layer4.1.conv1.weight_mask 	|	active =  189548 	|	total =  2359296 	|	layerwise sparsity =  0.0803409152560764
layer4.1.conv2.weight_mask 	|	active =  199836 	|	total =  2359296 	|	layerwise sparsity =  0.0847015380859375
pruning state: 12
remaining weight at start of iteration =  7.138376547776759
