pruning state: 0
remaining weight at start of iteration =  100.0
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer2.0.shortcut.0.weight_mask 	|	active =  861 	|	total =  8192 	|	layerwise sparsity =  0.1051025390625
layer2.1.conv1.weight_mask 	|	active =  32571 	|	total =  147456 	|	layerwise sparsity =  0.22088623046875
layer2.1.conv2.weight_mask 	|	active =  33694 	|	total =  147456 	|	layerwise sparsity =  0.22850206163194445
layer3.0.conv1.weight_mask 	|	active =  71763 	|	total =  294912 	|	layerwise sparsity =  0.24333699544270834
layer3.0.conv2.weight_mask 	|	active =  161981 	|	total =  589824 	|	layerwise sparsity =  0.2746259901258681
layer3.0.shortcut.0.weight_mask 	|	active =  6632 	|	total =  32768 	|	layerwise sparsity =  0.202392578125
layer3.1.conv1.weight_mask 	|	active =  163151 	|	total =  589824 	|	layerwise sparsity =  0.2766096327039931
layer3.1.conv2.weight_mask 	|	active =  166441 	|	total =  589824 	|	layerwise sparsity =  0.2821875678168403
layer4.0.conv1.weight_mask 	|	active =  365175 	|	total =  1179648 	|	layerwise sparsity =  0.30956268310546875
layer4.0.conv2.weight_mask 	|	active =  804118 	|	total =  2359296 	|	layerwise sparsity =  0.34082963731553817
layer4.0.shortcut.0.weight_mask 	|	active =  32294 	|	total =  131072 	|	layerwise sparsity =  0.2463836669921875
layer4.1.conv1.weight_mask 	|	active =  825431 	|	total =  2359296 	|	layerwise sparsity =  0.34986326429578996
layer4.1.conv2.weight_mask 	|	active =  836693 	|	total =  2359296 	|	layerwise sparsity =  0.354636722140842
pruning state: 5
remaining weight at start of iteration =  31.99284681956608
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  4180 	|	total =  36864 	|	layerwise sparsity =  0.11338975694444445
layer1.0.conv2.weight_mask 	|	active =  3743 	|	total =  36864 	|	layerwise sparsity =  0.1015353732638889
layer1.1.conv1.weight_mask 	|	active =  4180 	|	total =  36864 	|	layerwise sparsity =  0.11338975694444445
layer1.1.conv2.weight_mask 	|	active =  4529 	|	total =  36864 	|	layerwise sparsity =  0.12285698784722222
layer2.0.conv1.weight_mask 	|	active =  9918 	|	total =  73728 	|	layerwise sparsity =  0.134521484375
layer2.0.conv2.weight_mask 	|	active =  23199 	|	total =  147456 	|	layerwise sparsity =  0.15732828776041666
layer2.0.shortcut.0.weight_mask 	|	active =  549 	|	total =  8192 	|	layerwise sparsity =  0.0670166015625
layer2.1.conv1.weight_mask 	|	active =  24080 	|	total =  147456 	|	layerwise sparsity =  0.1633029513888889
layer2.1.conv2.weight_mask 	|	active =  25080 	|	total =  147456 	|	layerwise sparsity =  0.17008463541666666
layer3.0.conv1.weight_mask 	|	active =  54093 	|	total =  294912 	|	layerwise sparsity =  0.18342081705729166
layer3.0.conv2.weight_mask 	|	active =  125087 	|	total =  589824 	|	layerwise sparsity =  0.2120751274956597
layer3.0.shortcut.0.weight_mask 	|	active =  4818 	|	total =  32768 	|	layerwise sparsity =  0.14703369140625
layer3.1.conv1.weight_mask 	|	active =  126172 	|	total =  589824 	|	layerwise sparsity =  0.21391465928819445
layer3.1.conv2.weight_mask 	|	active =  129231 	|	total =  589824 	|	layerwise sparsity =  0.2191009521484375
layer4.0.conv1.weight_mask 	|	active =  288836 	|	total =  1179648 	|	layerwise sparsity =  0.2448493109809028
layer4.0.conv2.weight_mask 	|	active =  648377 	|	total =  2359296 	|	layerwise sparsity =  0.2748179965549045
layer4.0.shortcut.0.weight_mask 	|	active =  24403 	|	total =  131072 	|	layerwise sparsity =  0.18618011474609375
layer4.1.conv1.weight_mask 	|	active =  669053 	|	total =  2359296 	|	layerwise sparsity =  0.28358162773980033
layer4.1.conv2.weight_mask 	|	active =  680022 	|	total =  2359296 	|	layerwise sparsity =  0.28823089599609375
pruning state: 6
remaining weight at start of iteration =  25.535359422583916
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  2908 	|	total =  36864 	|	layerwise sparsity =  0.0788845486111111
layer1.0.conv2.weight_mask 	|	active =  2557 	|	total =  36864 	|	layerwise sparsity =  0.0693630642361111
layer1.1.conv1.weight_mask 	|	active =  2908 	|	total =  36864 	|	layerwise sparsity =  0.0788845486111111
layer1.1.conv2.weight_mask 	|	active =  3193 	|	total =  36864 	|	layerwise sparsity =  0.08661566840277778
layer2.0.conv1.weight_mask 	|	active =  7100 	|	total =  73728 	|	layerwise sparsity =  0.09629991319444445
layer2.0.conv2.weight_mask 	|	active =  17045 	|	total =  147456 	|	layerwise sparsity =  0.11559380425347222
layer2.0.shortcut.0.weight_mask 	|	active =  350 	|	total =  8192 	|	layerwise sparsity =  0.042724609375
layer2.1.conv1.weight_mask 	|	active =  17803 	|	total =  147456 	|	layerwise sparsity =  0.12073432074652778
layer2.1.conv2.weight_mask 	|	active =  18668 	|	total =  147456 	|	layerwise sparsity =  0.12660047743055555
layer3.0.conv1.weight_mask 	|	active =  40774 	|	total =  294912 	|	layerwise sparsity =  0.13825819227430555
layer3.0.conv2.weight_mask 	|	active =  96596 	|	total =  589824 	|	layerwise sparsity =  0.16377088758680555
layer3.0.shortcut.0.weight_mask 	|	active =  3500 	|	total =  32768 	|	layerwise sparsity =  0.1068115234375
layer3.1.conv1.weight_mask 	|	active =  97575 	|	total =  589824 	|	layerwise sparsity =  0.16543070475260416
layer3.1.conv2.weight_mask 	|	active =  100340 	|	total =  589824 	|	layerwise sparsity =  0.17011854383680555
layer4.0.conv1.weight_mask 	|	active =  228455 	|	total =  1179648 	|	layerwise sparsity =  0.19366370307074654
layer4.0.conv2.weight_mask 	|	active =  522799 	|	total =  2359296 	|	layerwise sparsity =  0.22159110175238717
layer4.0.shortcut.0.weight_mask 	|	active =  18440 	|	total =  131072 	|	layerwise sparsity =  0.14068603515625
layer4.1.conv1.weight_mask 	|	active =  542301 	|	total =  2359296 	|	layerwise sparsity =  0.22985712687174478
layer4.1.conv2.weight_mask 	|	active =  552688 	|	total =  2359296 	|	layerwise sparsity =  0.2342597113715278
pruning state: 7
remaining weight at start of iteration =  20.395668805881982
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  2023 	|	total =  36864 	|	layerwise sparsity =  0.054877387152777776
layer1.0.conv2.weight_mask 	|	active =  1746 	|	total =  36864 	|	layerwise sparsity =  0.04736328125
layer1.1.conv1.weight_mask 	|	active =  2023 	|	total =  36864 	|	layerwise sparsity =  0.054877387152777776
layer1.1.conv2.weight_mask 	|	active =  2251 	|	total =  36864 	|	layerwise sparsity =  0.06106228298611111
layer2.0.conv1.weight_mask 	|	active =  5082 	|	total =  73728 	|	layerwise sparsity =  0.06892903645833333
layer2.0.conv2.weight_mask 	|	active =  12524 	|	total =  147456 	|	layerwise sparsity =  0.0849338107638889
layer2.0.shortcut.0.weight_mask 	|	active =  223 	|	total =  8192 	|	layerwise sparsity =  0.0272216796875
layer2.1.conv1.weight_mask 	|	active =  13162 	|	total =  147456 	|	layerwise sparsity =  0.0892605251736111
layer2.1.conv2.weight_mask 	|	active =  13896 	|	total =  147456 	|	layerwise sparsity =  0.09423828125
layer3.0.conv1.weight_mask 	|	active =  30734 	|	total =  294912 	|	layerwise sparsity =  0.1042141384548611
layer3.0.conv2.weight_mask 	|	active =  74595 	|	total =  589824 	|	layerwise sparsity =  0.12646993001302084
layer3.0.shortcut.0.weight_mask 	|	active =  2543 	|	total =  32768 	|	layerwise sparsity =  0.077606201171875
layer3.1.conv1.weight_mask 	|	active =  75459 	|	total =  589824 	|	layerwise sparsity =  0.12793477376302084
layer3.1.conv2.weight_mask 	|	active =  77908 	|	total =  589824 	|	layerwise sparsity =  0.1320868598090278
layer4.0.conv1.weight_mask 	|	active =  180697 	|	total =  1179648 	|	layerwise sparsity =  0.15317874484592015
layer4.0.conv2.weight_mask 	|	active =  421543 	|	total =  2359296 	|	layerwise sparsity =  0.17867321438259548
layer4.0.shortcut.0.weight_mask 	|	active =  13934 	|	total =  131072 	|	layerwise sparsity =  0.1063079833984375
layer4.1.conv1.weight_mask 	|	active =  439562 	|	total =  2359296 	|	layerwise sparsity =  0.18631066216362846
layer4.1.conv2.weight_mask 	|	active =  449197 	|	total =  2359296 	|	layerwise sparsity =  0.19039450751410592
pruning state: 8
remaining weight at start of iteration =  16.301318943812625
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  1407 	|	total =  36864 	|	layerwise sparsity =  0.038167317708333336
layer1.0.conv2.weight_mask 	|	active =  1193 	|	total =  36864 	|	layerwise sparsity =  0.03236219618055555
layer1.1.conv1.weight_mask 	|	active =  1407 	|	total =  36864 	|	layerwise sparsity =  0.038167317708333336
layer1.1.conv2.weight_mask 	|	active =  1587 	|	total =  36864 	|	layerwise sparsity =  0.043050130208333336
layer2.0.conv1.weight_mask 	|	active =  3638 	|	total =  73728 	|	layerwise sparsity =  0.04934353298611111
layer2.0.conv2.weight_mask 	|	active =  9202 	|	total =  147456 	|	layerwise sparsity =  0.06240505642361111
layer2.0.shortcut.0.weight_mask 	|	active =  142 	|	total =  8192 	|	layerwise sparsity =  0.017333984375
layer2.1.conv1.weight_mask 	|	active =  9731 	|	total =  147456 	|	layerwise sparsity =  0.06599256727430555
layer2.1.conv2.weight_mask 	|	active =  10344 	|	total =  147456 	|	layerwise sparsity =  0.07014973958333333
layer3.0.conv1.weight_mask 	|	active =  23167 	|	total =  294912 	|	layerwise sparsity =  0.0785556369357639
layer3.0.conv2.weight_mask 	|	active =  57605 	|	total =  589824 	|	layerwise sparsity =  0.09766472710503472
layer3.0.shortcut.0.weight_mask 	|	active =  1848 	|	total =  32768 	|	layerwise sparsity =  0.056396484375
layer3.1.conv1.weight_mask 	|	active =  58356 	|	total =  589824 	|	layerwise sparsity =  0.09893798828125
layer3.1.conv2.weight_mask 	|	active =  60491 	|	total =  589824 	|	layerwise sparsity =  0.1025577121310764
layer4.0.conv1.weight_mask 	|	active =  142923 	|	total =  1179648 	|	layerwise sparsity =  0.12115732828776042
layer4.0.conv2.weight_mask 	|	active =  339899 	|	total =  2359296 	|	layerwise sparsity =  0.14406797620985243
layer4.0.shortcut.0.weight_mask 	|	active =  10529 	|	total =  131072 	|	layerwise sparsity =  0.08032989501953125
layer4.1.conv1.weight_mask 	|	active =  356287 	|	total =  2359296 	|	layerwise sparsity =  0.15101411607530382
layer4.1.conv2.weight_mask 	|	active =  365085 	|	total =  2359296 	|	layerwise sparsity =  0.15474319458007812
pruning state: 9
remaining weight at start of iteration =  13.03710685466527
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  979 	|	total =  36864 	|	layerwise sparsity =  0.026557074652777776
layer1.0.conv2.weight_mask 	|	active =  815 	|	total =  36864 	|	layerwise sparsity =  0.022108289930555556
layer1.1.conv1.weight_mask 	|	active =  979 	|	total =  36864 	|	layerwise sparsity =  0.026557074652777776
layer1.1.conv2.weight_mask 	|	active =  1119 	|	total =  36864 	|	layerwise sparsity =  0.030354817708333332
layer2.0.conv1.weight_mask 	|	active =  2604 	|	total =  73728 	|	layerwise sparsity =  0.035319010416666664
layer2.0.conv2.weight_mask 	|	active =  6761 	|	total =  147456 	|	layerwise sparsity =  0.04585096571180555
layer2.0.shortcut.0.weight_mask 	|	active =  90 	|	total =  8192 	|	layerwise sparsity =  0.010986328125
layer2.1.conv1.weight_mask 	|	active =  7194 	|	total =  147456 	|	layerwise sparsity =  0.048787434895833336
layer2.1.conv2.weight_mask 	|	active =  7700 	|	total =  147456 	|	layerwise sparsity =  0.05221896701388889
layer3.0.conv1.weight_mask 	|	active =  17463 	|	total =  294912 	|	layerwise sparsity =  0.059214274088541664
layer3.0.conv2.weight_mask 	|	active =  44484 	|	total =  589824 	|	layerwise sparsity =  0.07541910807291667
layer3.0.shortcut.0.weight_mask 	|	active =  1343 	|	total =  32768 	|	layerwise sparsity =  0.040985107421875
layer3.1.conv1.weight_mask 	|	active =  45129 	|	total =  589824 	|	layerwise sparsity =  0.07651265462239583
layer3.1.conv2.weight_mask 	|	active =  46968 	|	total =  589824 	|	layerwise sparsity =  0.07963053385416667
layer4.0.conv1.weight_mask 	|	active =  113045 	|	total =  1179648 	|	layerwise sparsity =  0.09582943386501735
layer4.0.conv2.weight_mask 	|	active =  274067 	|	total =  2359296 	|	layerwise sparsity =  0.11616473727756077
layer4.0.shortcut.0.weight_mask 	|	active =  7956 	|	total =  131072 	|	layerwise sparsity =  0.060699462890625
layer4.1.conv1.weight_mask 	|	active =  288788 	|	total =  2359296 	|	layerwise sparsity =  0.12240431043836805
layer4.1.conv2.weight_mask 	|	active =  296723 	|	total =  2359296 	|	layerwise sparsity =  0.12576760186089408
pruning state: 10
remaining weight at start of iteration =  10.432680313483944
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  681 	|	total =  36864 	|	layerwise sparsity =  0.018473307291666668
layer1.0.conv2.weight_mask 	|	active =  557 	|	total =  36864 	|	layerwise sparsity =  0.015109592013888888
layer1.1.conv1.weight_mask 	|	active =  681 	|	total =  36864 	|	layerwise sparsity =  0.018473307291666668
layer1.1.conv2.weight_mask 	|	active =  789 	|	total =  36864 	|	layerwise sparsity =  0.021402994791666668
layer2.0.conv1.weight_mask 	|	active =  1864 	|	total =  73728 	|	layerwise sparsity =  0.025282118055555556
layer2.0.conv2.weight_mask 	|	active =  4968 	|	total =  147456 	|	layerwise sparsity =  0.03369140625
layer2.0.shortcut.0.weight_mask 	|	active =  57 	|	total =  8192 	|	layerwise sparsity =  0.0069580078125
layer2.1.conv1.weight_mask 	|	active =  5319 	|	total =  147456 	|	layerwise sparsity =  0.03607177734375
layer2.1.conv2.weight_mask 	|	active =  5732 	|	total =  147456 	|	layerwise sparsity =  0.038872612847222224
layer3.0.conv1.weight_mask 	|	active =  13163 	|	total =  294912 	|	layerwise sparsity =  0.04463365342881945
layer3.0.conv2.weight_mask 	|	active =  34352 	|	total =  589824 	|	layerwise sparsity =  0.05824110243055555
layer3.0.shortcut.0.weight_mask 	|	active =  976 	|	total =  32768 	|	layerwise sparsity =  0.02978515625
layer3.1.conv1.weight_mask 	|	active =  34900 	|	total =  589824 	|	layerwise sparsity =  0.05917019314236111
layer3.1.conv2.weight_mask 	|	active =  36468 	|	total =  589824 	|	layerwise sparsity =  0.06182861328125
layer4.0.conv1.weight_mask 	|	active =  89413 	|	total =  1179648 	|	layerwise sparsity =  0.0757963392469618
layer4.0.conv2.weight_mask 	|	active =  220986 	|	total =  2359296 	|	layerwise sparsity =  0.09366607666015625
layer4.0.shortcut.0.weight_mask 	|	active =  6012 	|	total =  131072 	|	layerwise sparsity =  0.045867919921875
layer4.1.conv1.weight_mask 	|	active =  234077 	|	total =  2359296 	|	layerwise sparsity =  0.09921476576063368
layer4.1.conv2.weight_mask 	|	active =  241162 	|	total =  2359296 	|	layerwise sparsity =  0.10221778021918403
pruning state: 11
remaining weight at start of iteration =  8.353236136680376
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  474 	|	total =  36864 	|	layerwise sparsity =  0.012858072916666666
layer1.0.conv2.weight_mask 	|	active =  380 	|	total =  36864 	|	layerwise sparsity =  0.010308159722222222
layer1.1.conv1.weight_mask 	|	active =  474 	|	total =  36864 	|	layerwise sparsity =  0.012858072916666666
layer1.1.conv2.weight_mask 	|	active =  556 	|	total =  36864 	|	layerwise sparsity =  0.015082465277777778
layer2.0.conv1.weight_mask 	|	active =  1334 	|	total =  73728 	|	layerwise sparsity =  0.018093532986111112
layer2.0.conv2.weight_mask 	|	active =  3650 	|	total =  147456 	|	layerwise sparsity =  0.024753146701388888
layer2.0.shortcut.0.weight_mask 	|	active =  36 	|	total =  8192 	|	layerwise sparsity =  0.00439453125
layer2.1.conv1.weight_mask 	|	active =  3932 	|	total =  147456 	|	layerwise sparsity =  0.026665581597222224
layer2.1.conv2.weight_mask 	|	active =  4267 	|	total =  147456 	|	layerwise sparsity =  0.028937445746527776
layer3.0.conv1.weight_mask 	|	active =  9922 	|	total =  294912 	|	layerwise sparsity =  0.03364393446180555
layer3.0.conv2.weight_mask 	|	active =  26528 	|	total =  589824 	|	layerwise sparsity =  0.044976128472222224
layer3.0.shortcut.0.weight_mask 	|	active =  709 	|	total =  32768 	|	layerwise sparsity =  0.021636962890625
layer3.1.conv1.weight_mask 	|	active =  26990 	|	total =  589824 	|	layerwise sparsity =  0.04575941297743055
layer3.1.conv2.weight_mask 	|	active =  28315 	|	total =  589824 	|	layerwise sparsity =  0.04800584581163195
layer4.0.conv1.weight_mask 	|	active =  70721 	|	total =  1179648 	|	layerwise sparsity =  0.059950934516059026
layer4.0.conv2.weight_mask 	|	active =  178185 	|	total =  2359296 	|	layerwise sparsity =  0.07552464803059895
layer4.0.shortcut.0.weight_mask 	|	active =  4543 	|	total =  131072 	|	layerwise sparsity =  0.03466033935546875
layer4.1.conv1.weight_mask 	|	active =  189731 	|	total =  2359296 	|	layerwise sparsity =  0.0804184807671441
layer4.1.conv2.weight_mask 	|	active =  196004 	|	total =  2359296 	|	layerwise sparsity =  0.08307732476128472
pruning state: 12
remaining weight at start of iteration =  6.691777713735137
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  330 	|	total =  36864 	|	layerwise sparsity =  0.008951822916666666
